官译_桥名,官译_坝名,你的翻译_桥名,你的翻译_坝名
上将大桥,上将大坝,青衣海旁大橋,萬宜水庫
琥珀大桥,琥珀大坝,汀九海濱大橋,萬宜東水庫
阿彻尔大桥,阿彻尔大坝,昂船洲北大橋,萬宜西水庫
阿什下大桥,阿什当大坝,西九龍連接橋,船灣淡水湖
奥本大桥,奥本大坝,東涌迎海大橋,船灣內淡水湖
极光大桥,极光大坝,馬灣南大橋,船灣外淡水湖
蔚蓝大桥,蔚蓝大坝,將軍澳跨灣大橋,大潭上水塘
灯塔大桥,灯塔大坝,沙田城門河大橋,大潭中水塘
比彻姆大桥,比彻姆大坝,大埔海濱大橋,大潭下水塘
伯克戴尔大桥,伯克戴尔大坝,元朗明渠大橋,大潭北水塘
布莱克威尔大桥,布莱克威尔大坝,天水圍濕地大橋,大潭南水塘
博斯沃思大桥,博斯沃思大坝,屯門公路高架橋,石壁水塘
博尔德大桥,博尔德大坝,深井青龍頭大橋,石壁上水塘
布罗克雷大桥,布罗克雷大坝,荃灣海旁行車天橋,石壁下水塘
卡尔顿大桥,卡尔顿大坝,葵涌貨櫃碼頭大橋,城門水塘
冠军大桥,冠军大坝,青衣南高架橋,城門東水塘
科巴姆大桥,科巴姆大坝,美孚海堤大橋,城門西水塘
上校大桥,上校大坝,南昌站連接橋,大欖涌水塘
科波菲尔大桥,科波菲尔大坝,西環海旁天橋,大欖上水塘
珊瑚大桥,珊瑚大坝,中環碼頭天橋,大欖下水塘
克兰福德大桥,克兰福德大坝,灣仔北行車天橋,大欖東水塘
克雷斯韦尔大桥,克雷斯韦尔大坝,銅鑼灣避風塘大橋,大欖西水塘
王冠大桥,王冠大坝,北角海濱連接橋,林村谷水塘
女公爵大桥,女公爵大坝,鰂魚涌港鐵橋,林村北水塘
杜斯伯里大桥,杜斯伯里大坝,筲箕灣海旁大橋,林村南水塘
公爵大桥,公爵大坝,柴灣海濱高架橋,大埔滘水塘
伯爵大桥,伯爵大坝,鴨脷洲連島大橋,大埔滘上水塘
翡翠大桥,翡翠大坝,香港仔避風塘大橋,大埔滘下水塘
弗利特大桥,弗利特大坝,黃竹坑山邊高架橋,九龍水塘
弗莱彻大桥,弗莱彻大坝,赤柱海旁大橋,九龍東水塘
燧石大桥,燧石大坝,淺水灣行車天橋,九龍西水塘
盖恩斯威大桥,盖恩斯威大坝,薄扶林水塘道天橋,薄扶林水塘
格兰岱尔大桥,格兰岱尔大坝,數碼港海旁大橋,薄扶林上水塘
格伦里奇大桥,格伦里奇大坝,石澳道行車天橋,薄扶林下水塘
格伦伍德大桥,格伦伍德大坝,西貢海濱大橋,香港仔水塘
格兰瑟姆大桥,格兰瑟姆大坝,清水灣道高架橋,香港仔東水塘
格雷斯通大桥,格雷斯通大坝,坑口跨渠大橋,香港仔西水塘
格里芬大桥,格里芬大坝,調景嶺跨灣橋,黃泥涌水塘
黑尔伍德大桥,黑尔伍德大坝,油塘海濱連接橋,黃泥涌上水塘
哈灵顿大桥,哈灵顿大坝,觀塘繞道高架橋,黃泥涌下水塘
哈里森大桥,哈里森大坝,九龍灣臨海天橋,大浪灣水塘
赫里蒂奇大桥,赫里蒂奇大坝,啟德河大橋,石澳水塘
海格特大桥,海格特大坝,土瓜灣海旁大橋,鶴咀水塘
霍利布什大桥,霍利布什大坝,紅磡海底隧道,赤柱水塘
猎人大桥,猎人大坝,尖沙咀海旁天橋,深水灣水塘
帝国大桥,帝国大坝,佐敦道行車天橋,淺水灣水塘
象牙大桥,象牙大坝,油麻地高架橋,赤柱峽道水庫
宝珠大桥,宝珠大坝,旺角行車天橋,鴨脷洲水塘
金斯伍德大桥,金斯伍德大坝,九龍塘連接橋,黃竹坑水塘
科克菲尔德大桥,科克菲尔德大坝,石硤尾天橋,南朗山水塘
诺斯利大桥,诺斯利大坝,深水埗海旁大橋,渣甸山水塘
兰开斯特大桥,兰开斯特大坝,長沙灣高架橋,大坑水塘
兰西尔大桥,兰西尔大坝,荔枝角公園橋,跑馬地水塘
莱兰大桥,莱兰大坝,青山公路天橋,銅鑼灣調蓄水塘
自由大桥,自由大坝,屯門龍鼓灘大橋,北角調蓄水塘
利文斯顿大桥,利文斯顿大坝,小欖海旁大橋,太古調蓄水塘
朗莫尔大桥,朗莫尔大坝,洪水橋跨河大橋,鰂魚涌調蓄水塘
莲花大桥,莲花大坝,錦田河大橋,筲箕灣水塘
林德赫斯特大桥,林德赫斯特大坝,八鄉高架橋,柴灣水塘
莱桑德大桥,莱桑德大坝,石崗連接橋,小西灣水塘
玛丽戈尔德大桥,玛丽戈尔德大坝,大棠谷大橋,杏花邨調蓄水塘
马利大桥,马利大坝,新田圍大橋,鯉魚門水塘
梅菲尔大桥,梅菲尔大坝,落馬洲口岸橋,茶果嶺水塘
五月花大桥,五月花大坝,古洞北大橋,藍田水塘
商人大桥,商人大坝,粉嶺跨渠大橋,油塘水塘
莫顿大桥,莫顿大坝,上水河上大橋,觀塘調蓄水塘
奥克兰大桥,奥克兰大坝,沙頭角海旁大橋,九龍灣調蓄水塘
翁斯洛大桥,翁斯洛大坝,打鼓嶺山谷橋,啟德水塘
观景大桥,观景大坝,坪輋連接橋,土瓜灣調蓄水塘
飞马大桥,飞马大坝,林村河大橋,紅磡調蓄水塘
彭德格斯特大桥,彭德格斯特大坝,汀角海濱大橋,尖沙咀調蓄水塘
彭宁顿大桥,彭宁顿大坝,鹿頸海旁橋,佐敦谷水塘
彭罗斯大桥,彭罗斯大坝,烏蛟騰谷橋,九龍城調蓄水塘
博雷克林大桥,博雷克林大坝,荔枝窩連接橋,何文田水塘
朝圣大桥,朝圣大坝,鎖羅盆海旁橋,九龍塘水塘
先锋大桥,先锋大坝,吉澳碼頭大橋,畢架山水塘
佩珀大桥,佩珀大坝,長洲渡頭天橋,獅子山水塘
女王大桥,女王大坝,南丫榕樹灣大橋,九龍仔水塘
兰彻大桥,兰彻大坝,坪洲碼頭連接橋,深水埗調蓄水塘
雷德福德大桥,雷德福德大坝,愉景灣連接橋,長沙灣調蓄水塘
林伍德大桥,林伍德大坝,梅窩銀礦灣大橋,荔枝角調蓄水塘
罗彻斯特大桥,罗彻斯特大坝,大澳棚屋橋,美孚調蓄水塘
罗克兰大桥,罗克兰大坝,貝澳海旁橋,大角咀調蓄水塘
罗巴克大桥,罗巴克大坝,塘福海濱橋,旺角調蓄水塘
罗斯伯里大桥,罗斯伯里大坝,沙螺灣連接橋,油麻地調蓄水塘
卢瑟福大桥,卢瑟福大坝,機場島北大橋,西九龍調蓄水塘
蓝宝石大桥,蓝宝石大坝,港珠澳口岸連接橋,西環調蓄水塘
塞雷妮蒂大桥,塞雷妮蒂大坝,亞洲國際博覽館天橋,上環調蓄水塘
希普利大桥,希普利大坝,迪士尼碼頭大橋,中環調蓄水塘
希尔弗大桥,希尔弗大坝,竹篙灣連接橋,金鐘調蓄水塘
圣劳伦斯大桥,圣劳伦斯大坝,小蠔灣大橋,灣仔調蓄水塘
斯托克韦尔大桥,斯托克韦尔大坝,青嶼幹線高架橋,會展調蓄水塘
史特摩大桥,史特摩大坝,錦繡花園天橋,寶雲道水塘
萨默菲尔德大桥,萨默菲尔德大坝,屏山高架橋,香港公園水塘
桑德兰大桥,桑德兰大坝,元朗東高架橋,薄扶林谷水庫
新利班大桥,新利班大坝,十八鄉大橋,數碼港水塘
塔尔伍德大桥,塔尔伍德大坝,流浮山海旁橋,維港調蓄水塘
汤普森大桥,汤普森大坝,白泥濕地橋,西區海旁水塘
索恩大桥,索恩大坝,米埔濕地連接橋,東區走廊水塘
桑希尔大桥,桑希尔大坝,大埔滘溪橋,西貢北潭涌水塘
联合大桥,联合大坝,吐露港海旁大橋,北潭涌上水塘
胜利大桥,胜利大坝,科學園連接橋,北潭涌下水塘
维沃尔大桥,维沃尔大坝,白石角海濱大橋,清水灣水塘
山楂大桥,山楂大坝,馬料水大橋,清水灣東水塘
温彻斯特大桥,温彻斯特大坝,中文大學橋,清水灣西水塘
冬日大桥,冬日大坝,火炭工業區大橋,銀線灣水塘
伍德霍尔大桥,伍德霍尔大坝,大圍城門河橋,白沙灣水塘
伍德威尔大桥,伍德威尔大坝,車公廟天橋,相思灣水塘
温德姆大桥,温德姆大坝,沙田馬場連接橋,蠔涌水塘
松木大桥,松木大坝,大老山隧道,大網仔水塘
桤木岭大桥,桤木岭大坝,獅子山隧道,西貢萬宜路水塘
琥光大桥,琥光大坝,將軍澳隧道,將軍澳水塘
亚契福德大桥,亚契福德大坝,東區海底隧道,將軍澳南水塘
灰堡大桥,灰堡大坝,西區海底隧道,坑口水塘
山杨丘大桥,山杨丘大坝,機場隧道,調景嶺調蓄水塘
贝洛福德大桥,贝洛福德大坝,長青隧道,日出康城水塘
庇佑湾大桥,庇佑湾大坝,南灣隧道,百勝角水塘
贝尔米尔大桥,贝尔米尔大坝,青衣西隧道,馬鞍山水塘
桦堡大桥,桦堡大坝,青衣東高架橋,烏溪沙水塘
黑脊大桥,黑脊大坝,荃灣西站天橋,大水坑水塘
布鲁黑文大桥,布鲁黑文大坝,葵芳站天橋,恆安水塘
欧蕨林大桥,欧蕨林大坝,大窩口行車天橋,火炭水塘
棘石大桥,棘石大坝,荔景連接橋,沙田水塘
布鲁克米尔大桥,布鲁克米尔大坝,青衣站行人天橋,源禾路水塘
巴克利大桥,巴克利大坝,九龍站上蓋天橋,城門河調蓄水塘
坎布福特大桥,坎布福特大坝,奧運站天橋,大圍水塘
紫木大桥,紫木大桥,南昌站天橋,顯徑水塘
卡林福德大桥,卡林福德大坝,金鐘站行人天橋,沙田坳水塘
卡塞米尔大桥,卡塞米尔大坝,中環天星碼頭天橋,大老山水塘
恰特顿大桥,恰特顿大坝,上環德輔道高架橋,觀音山水塘
克莱蒙特大桥,克莱蒙特大坝,西營盤行車天橋,西貢西水庫
清水大桥,清水大坝,堅尼地城海旁橋,西貢東水庫
克莱德戴尔大桥,克莱德戴尔大坝,山頂纜車道天橋,西貢南水塘
柯本大桥,柯本大坝,鴨脷洲大橋,西貢北水塘
科波盖特大桥,科波盖特大坝,黃竹坑站天橋,大埔水塘
克莱斯特米尔大桥,克莱斯特米尔大坝,海洋公園連接橋,大埔海濱水塘
克罗斯福德大桥,克罗斯福德大坝,赤柱峽道大橋,白石角水塘
柏滩大桥,柏滩大坝,石澳灣大橋,科學園水塘
戴文波特大桥,戴文波特大坝,鶴咀道高架橋,吐露港淡水湖
鸽林大桥,鸽林大坝,深水灣大橋,馬料水水塘
崔福特米尔大桥,崔福特米尔大坝,深水灣道天橋,林村口水塘
顿福特大桥,顿福特大坝,淺水灣道大橋,汀角水塘
鹰山大桥,鹰山大坝,香港仔隧道,汀角東水塘
伊斯特米尔大桥,伊斯特米尔大坝,黃竹坑隧道,汀角西水塘
缘崖大桥,缘崖大坝,銅鑼灣東岸連接橋,烏蛟騰水塘
榆木林大桥,榆木林大坝,北角東岸板道橋,鹿頸水塘
安珀斯凯大桥,安珀斯凯大坝,太古坊連接橋,荔枝窩水塘
菲尔黑文大桥,菲尔黑文大坝,筲箕灣東大橋,鎖羅盆水塘
法尔克米尔大桥,法尔克米尔大坝,柴灣公園橋,吉澳水塘
芬恩克里夫大桥,芬恩克里夫大坝,小西灣高架橋,沙頭角水塘
菲尔德米尔大桥,法尔克米尔大坝,杏花邨連接橋,沙頭角上水塘
弗林特盖特大桥,弗林特盖特大坝,鯉魚門海旁橋,沙頭角下水塘
狐洞大桥,狐洞大坝,茶果嶺大橋,打鼓嶺水塘
弗罗斯特米尔大桥,弗罗斯特米尔大坝,藍田隧道,坪輋水塘
盖博伍德大桥,盖博伍德大坝,觀塘海濱天橋,粉嶺水塘
伽顿米尔大桥,伽顿米尔大坝,啟德發展區大橋,粉嶺北水塘
格伦布鲁克大桥,格伦布鲁克大坝,啟德體育園連接橋,上水水塘
金山大桥,金山大坝,九龍城碼頭天橋,上水東水塘
格林黑文大桥,格林黑文大坝,何文田行車天橋,古洞水塘
哈珀福特大桥,哈珀福特大坝,佐敦谷大橋,古洞北水塘
黑泽米尔大桥,黑泽米尔大坝,彩虹邨天橋,落馬洲調蓄水塘
海伯恩大桥,海伯恩大坝,鑽石山站天橋,新田水塘
冬青脊大桥,冬青脊大坝,黃大仙天橋,新田北水塘
铁岭大桥,铁岭大坝,慈雲山高架橋,米埔水塘
蔷薇溪大桥,蔷薇溪大坝,牛池灣天橋,米埔淡水湖
玉林大桥,玉林大坝,九龍灣企業廣場天橋,流浮山水塘
刺柏山大桥,刺柏山大坝,觀塘碼頭連接橋,白泥水塘
金斯利大桥,金斯利大坝,油塘灣大橋,洪水橋水塘
拉克蒙特大桥,拉克蒙特大坝,將軍澳南海濱大橋,屏山水塘
莱文赫斯特大桥,莱文赫斯特大坝,將軍澳工業邨橋,元朗水塘
洛克米尔大桥,洛克米尔大坝,日出康城連接橋,元朗東水塘
朗福特大桥,朗福特大坝,百勝角大橋,十八鄉水塘
木兰大桥,玉兰渡口,銀線灣大橋,錦田水塘
枫山大桥,枫山大坝,清水灣第二灣大橋,八鄉水塘
草岭大桥,草岭大坝,大網仔路高架橋,石崗水塘
玛丽格特大桥,玛丽格特大坝,萬宜路大橋,大棠水塘
雾溪大桥,雾溪大坝,西貢碼頭天橋,大棠東水塘
月山大桥,月山大坝,北潭涌大橋,屯門水塘
苔谷大桥,苔谷大坝,白沙灣大橋,屯門西水塘
诺斯菲尔德大桥,诺斯菲尔德大坝,相思灣連接橋,龍鼓灘水塘
橡沼大桥,橡沼大坝,蠔涌河大橋,小欖水塘
欧克里奇大桥,欧克里奇大坝,沙下高架橋,深井水塘
欧乍得盖特大桥,欧乍得盖特大坝,馬鞍山海濱大橋,青龍頭水塘
观景大桥,观景大坝,烏溪沙連接橋,荃灣水塘
松沼大桥,松沼大坝,大水坑大橋,荃灣東水塘
鹌鹑林大桥,鹌鹑林大坝,恆安邨天橋,葵涌水塘
瑞文夏尔大桥,瑞文夏尔大坝,火炭路大橋,葵涌上水塘
雷德弗恩大桥,雷德弗恩大坝,沙田第一城大橋,青衣水塘
瑞弗盖特大桥,瑞弗盖特大坝,源禾路大橋,青衣北水塘
罗斯米尔大桥,罗斯米尔大坝,城門河東岸大橋,馬灣水塘
洛旺福特大桥,洛旺福特大坝,車公廟路天橋,汀九水塘
海崖大桥,海崖大坝,大圍站天橋,昂船洲調蓄水塘
西弗米尔大桥,西弗米尔大坝,顯徑連接橋,南昌調蓄水塘
斯盖黑文大桥,斯盖黑文大坝,沙田坳道高架橋,美孚淡水湖
南溪大桥,南溪大坝,畢架山隧道,西九龍淡水湖
春溪大桥,春溪大坝,九龍仔公園橋,機場島水塘
斯塔林福特大桥,斯塔林福特大坝,九龍塘站天橋,機場島東水塘
斯通布里奇大桥,斯通布里奇大坝,九龍城隧道,竹篙灣水塘
风暴谷大桥,风暴谷大坝,紅磡站天橋,迪士尼水塘
萨莫黑文大桥,萨莫黑文大坝,會展站天橋,小蠔灣水塘
荆脊大桥,荆脊大坝,金鐘道高架橋,東涌水塘
廷伯福特大桥,廷伯福特大坝,灣仔道天橋,東涌北水塘
维尔克雷斯特大桥,维尔克雷斯特大坝,皇后大道東天橋,大嶼山水庫
西溪大桥,西溪大坝,跑馬地天橋,大嶼山北水庫
西谷大桥,西谷大坝,渣甸山隧道,梅窩水塘
白石大桥,白石渡口,大坑天橋,銀礦灣水塘
野玫瑰大桥,野玫瑰大坝,天后海旁橋,貝澳水塘
维洛米尔大桥,维洛米尔大坝,銅鑼灣東岸大橋,塘福水塘
温德米尔大桥,温德米尔大坝,北角碼頭連接橋,大澳水塘
冬溪大桥,冬溪大坝,西灣河連接橋,水口水塘
